operator,family,phs_order,poly_deg,eps,N,k,nrmse
laplacian3d,PHS,1,1,0.0,512,0,5.429267525549209e14
laplacian3d,PHS,1,1,0.0,1728,0,3.6327856271553544e14
laplacian3d,PHS,1,1,0.0,4096,0,2.6585827547332644e14
laplacian3d,PHS,1,1,0.0,8000,0,2.1410758673379512e14
laplacian3d,PHS,3,2,0.0,512,0,0.1601854028336061
laplacian3d,PHS,3,2,0.0,1728,0,0.09521867554004398
laplacian3d,PHS,3,2,0.0,4096,0,0.06697902397208952
laplacian3d,PHS,3,2,0.0,8000,0,0.05074018532347642
laplacian3d,PHS,5,3,0.0,512,0,0.023694407145614136
laplacian3d,PHS,5,3,0.0,1728,0,0.006953418278449136
laplacian3d,PHS,5,3,0.0,4096,0,0.00347118086056715
laplacian3d,PHS,5,3,0.0,8000,0,0.0019433417081331568
laplacian3d,PHS,7,4,0.0,512,0,0.00402377805132838
laplacian3d,PHS,7,4,0.0,1728,0,0.0011368179584122803
laplacian3d,PHS,7,4,0.0,4096,0,0.0003986920228915534
laplacian3d,PHS,7,4,0.0,8000,0,0.00018155506369411435
gradient3d,PHS,1,1,0.0,512,0,0.07701513574911381
gradient3d,PHS,1,1,0.0,1728,0,0.0471382557809195
gradient3d,PHS,1,1,0.0,4096,0,0.0339614492626556
gradient3d,PHS,1,1,0.0,8000,0,0.026494293234282932
gradient3d,PHS,3,2,0.0,512,0,0.017290163743330766
gradient3d,PHS,3,2,0.0,1728,0,0.007138170397072486
gradient3d,PHS,3,2,0.0,4096,0,0.003692816325419182
gradient3d,PHS,3,2,0.0,8000,0,0.0022649499447031565
gradient3d,PHS,5,3,0.0,512,0,0.002524979975585689
gradient3d,PHS,5,3,0.0,1728,0,0.000508436884535334
gradient3d,PHS,5,3,0.0,4096,0,0.0001839246218147176
gradient3d,PHS,5,3,0.0,8000,0,8.399795192557857e-5
gradient3d,PHS,7,4,0.0,512,0,0.00032559561836024986
gradient3d,PHS,7,4,0.0,1728,0,5.960505426865547e-5
gradient3d,PHS,7,4,0.0,4096,0,1.5762652070295003e-5
gradient3d,PHS,7,4,0.0,8000,0,5.920500254407307e-6
laplacian3d_kref,PHS,3,2,0.0,4096,20,0.06697902397208952
laplacian3d_kref,PHS,3,2,0.0,4096,30,0.06947341020124197
laplacian3d_kref,PHS,3,2,0.0,4096,40,0.06906790033690567
laplacian3d_kref,PHS,3,2,0.0,4096,50,0.06779786399791181
laplacian3d_kref,PHS,3,2,0.0,4096,70,0.06569433725753453
laplacian3d_kref,PHS,3,2,0.0,4096,100,0.06483193367819005
laplacian3d_kref,PHS,3,2,0.0,4096,130,0.06548646101681269
laplacian3d_kref,PHS,3,2,0.0,4096,170,0.06759278704664844
laplacian3d_kref,PHS,5,3,0.0,4096,20,1.248979693741693
laplacian3d_kref,PHS,5,3,0.0,4096,30,0.0037868128481747696
laplacian3d_kref,PHS,5,3,0.0,4096,40,0.00347118086056715
laplacian3d_kref,PHS,5,3,0.0,4096,50,0.0035564960829210777
laplacian3d_kref,PHS,5,3,0.0,4096,70,0.0035958177764912396
laplacian3d_kref,PHS,5,3,0.0,4096,100,0.0034958393716617454
laplacian3d_kref,PHS,5,3,0.0,4096,130,0.0036663204737007104
laplacian3d_kref,PHS,5,3,0.0,4096,170,0.0037649512136147018
laplacian3d_kref,PHS,7,4,0.0,4096,20,NaN
laplacian3d_kref,PHS,7,4,0.0,4096,30,NaN
laplacian3d_kref,PHS,7,4,0.0,4096,40,0.0007054065263677781
laplacian3d_kref,PHS,7,4,0.0,4096,50,0.00038030665615695675
laplacian3d_kref,PHS,7,4,0.0,4096,70,0.0003986920228915534
laplacian3d_kref,PHS,7,4,0.0,4096,100,0.00042385573982923596
laplacian3d_kref,PHS,7,4,0.0,4096,130,0.00040830462021064777
laplacian3d_kref,PHS,7,4,0.0,4096,170,0.0004035308549647009
