operator,family,phs_order,poly_deg,eps,N,nrmse
interpolation,PHS,1,1,0.0,100,0.02247621929188168
interpolation,PHS,1,1,0.0,225,0.007057601884472808
interpolation,PHS,1,1,0.0,400,0.002952831951568571
interpolation,PHS,1,1,0.0,900,0.0010500212679216698
interpolation,PHS,1,1,0.0,2025,0.00025787933151899176
interpolation,PHS,1,1,0.0,4900,7.350566875338864e-5
interpolation,PHS,3,2,0.0,100,0.008175693083335758
interpolation,PHS,3,2,0.0,225,0.000900774062517224
interpolation,PHS,3,2,0.0,400,0.00039415062743222283
interpolation,PHS,3,2,0.0,900,0.00010192766669234392
interpolation,PHS,3,2,0.0,2025,1.5671873011634022e-5
interpolation,PHS,3,2,0.0,4900,3.219486729479779e-6
interpolation,PHS,5,3,0.0,100,0.005496201853085378
interpolation,PHS,5,3,0.0,225,0.0003511538943370392
interpolation,PHS,5,3,0.0,400,7.418981924540688e-5
interpolation,PHS,5,3,0.0,900,1.2956611939342514e-5
interpolation,PHS,5,3,0.0,2025,1.7559703787101534e-6
interpolation,PHS,5,3,0.0,4900,1.5446462354293312e-7
interpolation,PHS,7,4,0.0,100,0.003960139402003807
interpolation,PHS,7,4,0.0,225,0.00023956253206254026
interpolation,PHS,7,4,0.0,400,4.156719893230754e-5
interpolation,PHS,7,4,0.0,900,4.153091539726438e-6
interpolation,PHS,7,4,0.0,2025,3.0635171151663504e-7
interpolation,PHS,7,4,0.0,4900,1.9596134859433875e-8
interpolation,PHS,5,2,0.0,100,0.005506819929636073
interpolation,PHS,5,2,0.0,225,0.00034621563250846453
interpolation,PHS,5,2,0.0,400,7.535758633985458e-5
interpolation,PHS,5,2,0.0,900,1.2832035040122671e-5
interpolation,PHS,5,2,0.0,2025,1.6870629152467898e-6
interpolation,PHS,5,2,0.0,4900,1.4922629619723634e-7
interpolation,PHS,5,4,0.0,100,0.005537574060064134
interpolation,PHS,5,4,0.0,225,0.00032841272795810475
interpolation,PHS,5,4,0.0,400,6.513114175769042e-5
interpolation,PHS,5,4,0.0,900,1.045143048175069e-5
interpolation,PHS,5,4,0.0,2025,1.2740003887825802e-6
interpolation,PHS,5,4,0.0,4900,1.5178671847525475e-7
interpolation,PHS,5,5,0.0,100,0.006280328725255085
interpolation,PHS,5,5,0.0,225,0.0003683606550630997
interpolation,PHS,5,5,0.0,400,0.00010384459177187033
interpolation,PHS,5,5,0.0,900,1.587884602907939e-5
interpolation,PHS,5,5,0.0,2025,2.2050882715679633e-6
interpolation,PHS,5,5,0.0,4900,2.0517268140069107e-7
interpolation,PHS,7,3,0.0,100,0.003943305118870085
interpolation,PHS,7,3,0.0,225,0.00023526230883825111
interpolation,PHS,7,3,0.0,400,3.885910421323738e-5
interpolation,PHS,7,3,0.0,900,3.988630023644774e-6
interpolation,PHS,7,3,0.0,2025,3.0048621012116735e-7
interpolation,PHS,7,3,0.0,4900,2.1398784961492575e-8
interpolation,PHS,7,5,0.0,100,0.004033887963814444
interpolation,PHS,7,5,0.0,225,0.00024647763607321693
interpolation,PHS,7,5,0.0,400,4.295579971021991e-5
interpolation,PHS,7,5,0.0,900,4.176995815243039e-6
interpolation,PHS,7,5,0.0,2025,3.229164425700639e-7
interpolation,PHS,7,5,0.0,4900,1.627018384381469e-8
interpolation,PHS,7,6,0.0,100,0.004214508041165924
interpolation,PHS,7,6,0.0,225,0.00027180220209340735
interpolation,PHS,7,6,0.0,400,5.1420818178244094e-5
interpolation,PHS,7,6,0.0,900,4.1288946937535625e-6
interpolation,PHS,7,6,0.0,2025,2.783348345837798e-7
interpolation,PHS,7,6,0.0,4900,1.8126221502012913e-8
interpolation,PHS,3,1,0.0,100,0.008047071613354492
interpolation,PHS,3,1,0.0,225,0.0008813588208132567
interpolation,PHS,3,1,0.0,400,0.0003818596740930789
interpolation,PHS,3,1,0.0,900,9.839869974866997e-5
interpolation,PHS,3,1,0.0,2025,1.5231297300263894e-5
interpolation,PHS,3,1,0.0,4900,3.1808218136160974e-6
interpolation,PHS,3,3,0.0,100,0.008920244216353509
interpolation,PHS,3,3,0.0,225,0.0009526430847283743
