operator,family,phs_order,poly_deg,eps,N,k,nrmse
interpolation,PHS,3,2,0.0,4900,10,NaN
interpolation,PHS,3,2,0.0,4900,15,NaN
interpolation,PHS,3,2,0.0,4900,20,NaN
interpolation,PHS,3,2,0.0,4900,25,NaN
interpolation,PHS,3,2,0.0,4900,30,NaN
interpolation,PHS,3,2,0.0,4900,40,NaN
interpolation,PHS,3,2,0.0,4900,50,NaN
interpolation,PHS,3,2,0.0,4900,60,NaN
interpolation,PHS,3,2,0.0,4900,80,NaN
interpolation,PHS,3,2,0.0,4900,100,NaN
interpolation,PHS,5,3,0.0,4900,10,NaN
interpolation,PHS,5,3,0.0,4900,15,NaN
interpolation,PHS,5,3,0.0,4900,20,NaN
interpolation,PHS,5,3,0.0,4900,25,NaN
interpolation,PHS,5,3,0.0,4900,30,NaN
interpolation,PHS,5,3,0.0,4900,40,NaN
interpolation,PHS,5,3,0.0,4900,50,NaN
interpolation,PHS,5,3,0.0,4900,60,NaN
interpolation,PHS,5,3,0.0,4900,80,NaN
interpolation,PHS,5,3,0.0,4900,100,NaN
interpolation,PHS,7,4,0.0,4900,10,NaN
interpolation,PHS,7,4,0.0,4900,15,NaN
interpolation,PHS,7,4,0.0,4900,20,NaN
interpolation,PHS,7,4,0.0,4900,25,NaN
interpolation,PHS,7,4,0.0,4900,30,NaN
interpolation,PHS,7,4,0.0,4900,40,NaN
interpolation,PHS,7,4,0.0,4900,50,NaN
interpolation,PHS,7,4,0.0,4900,60,NaN
interpolation,PHS,7,4,0.0,4900,80,NaN
interpolation,PHS,7,4,0.0,4900,100,NaN
laplacian,PHS,3,2,0.0,4900,10,0.029091324325305232
laplacian,PHS,3,2,0.0,4900,15,0.020371240535715294
laplacian,PHS,3,2,0.0,4900,20,0.015176531815238327
laplacian,PHS,3,2,0.0,4900,25,0.015600175320392293
laplacian,PHS,3,2,0.0,4900,30,0.015057848876800894
laplacian,PHS,3,2,0.0,4900,40,0.015093122859097188
laplacian,PHS,3,2,0.0,4900,50,0.016426594221387248
laplacian,PHS,3,2,0.0,4900,60,0.016917687720637956
laplacian,PHS,3,2,0.0,4900,80,0.019211863860013553
laplacian,PHS,3,2,0.0,4900,100,0.02144650743988459
laplacian,PHS,5,3,0.0,4900,10,0.040839721395831516
laplacian,PHS,5,3,0.0,4900,15,0.0006430039841336401
laplacian,PHS,5,3,0.0,4900,20,0.0008260409349859446
laplacian,PHS,5,3,0.0,4900,25,0.0009698604721752824
laplacian,PHS,5,3,0.0,4900,30,0.0011915888900260818
laplacian,PHS,5,3,0.0,4900,40,0.001670161026907426
laplacian,PHS,5,3,0.0,4900,50,0.0024567708396496125
laplacian,PHS,5,3,0.0,4900,60,0.0031002373973455896
laplacian,PHS,5,3,0.0,4900,80,0.004363235127445617
laplacian,PHS,5,3,0.0,4900,100,0.005603527448177687
laplacian,PHS,7,4,0.0,4900,10,NaN
laplacian,PHS,7,4,0.0,4900,15,0.0004395721988665181
laplacian,PHS,7,4,0.0,4900,20,1.2216853694630752e-5
laplacian,PHS,7,4,0.0,4900,25,1.3847393112846352e-5
laplacian,PHS,7,4,0.0,4900,30,1.5589632084626945e-5
laplacian,PHS,7,4,0.0,4900,40,1.9735387815863794e-5
laplacian,PHS,7,4,0.0,4900,50,2.9036049489983696e-5
laplacian,PHS,7,4,0.0,4900,60,3.989767062154256e-5
laplacian,PHS,7,4,0.0,4900,80,7.133349115797137e-5
laplacian,PHS,7,4,0.0,4900,100,0.00011193383659498566
gradient,PHS,3,2,0.0,4900,10,0.0003112911529802555
gradient,PHS,3,2,0.0,4900,15,0.0002161843993997052
gradient,PHS,3,2,0.0,4900,20,0.00022368455293438026
gradient,PHS,3,2,0.0,4900,25,0.0001816324678754286
gradient,PHS,3,2,0.0,4900,30,0.00017454172511078268
gradient,PHS,3,2,0.0,4900,40,0.0001861834969774497
gradient,PHS,3,2,0.0,4900,50,0.00019053500137252463
gradient,PHS,3,2,0.0,4900,60,0.00020185659651651735
gradient,PHS,3,2,0.0,4900,80,0.00022317140953816332
gradient,PHS,3,2,0.0,4900,100,0.00024186748762178984
gradient,PHS,5,3,0.0,4900,10,0.0026227480523685217
gradient,PHS,5,3,0.0,4900,15,6.3326018358386636e-6
gradient,PHS,5,3,0.0,4900,20,5.387277563710629e-6
gradient,PHS,5,3,0.0,4900,25,5.641172597626288e-6
gradient,PHS,5,3,0.0,4900,30,5.1317672438771894e-6
gradient,PHS,5,3,0.0,4900,40,5.254740482583748e-6
gradient,PHS,5,3,0.0,4900,50,5.869270944247052e-6
gradient,PHS,5,3,0.0,4900,60,5.7589796745019695e-6
gradient,PHS,5,3,0.0,4900,80,6.414875072043773e-6
gradient,PHS,5,3,0.0,4900,100,6.8676075569992075e-6
gradient,PHS,7,4,0.0,4900,10,NaN
gradient,PHS,7,4,0.0,4900,15,7.492183211748308e-6
