operator,family,phs_order,poly_deg,eps,N,nrmse,build_time_s
interpolation,PHS,3,0,0.0,2500,1.395833055643168e-5,0.464821797
interpolation,PHS,5,0,0.0,2500,1.1051231288775184e-6,0.127694833
interpolation,PHS,7,0,0.0,2500,1.1486074961937024e-7,0.132154771
interpolation,IMQ,0,0,1.0,2500,0.03542125091866712,0.116369882
interpolation,Gaussian,0,0,1.0,2500,3.951492566921306,0.123462824
interpolation,PHS,3,1,0.0,2500,1.3877751519528728e-5,0.116318052
interpolation,PHS,5,1,0.0,2500,1.1149242870178921e-6,0.127985093
interpolation,PHS,7,1,0.0,2500,1.086182932872204e-7,0.107742466
interpolation,IMQ,0,1,1.0,2500,0.02563779486113482,0.146622357
interpolation,Gaussian,0,1,1.0,2500,4.366394970820972,0.103229657
interpolation,PHS,3,2,0.0,2500,1.3942899052627826e-5,0.102110715
interpolation,PHS,5,2,0.0,2500,1.1380134467308393e-6,0.103689947
interpolation,PHS,7,2,0.0,2500,1.1308476149982018e-7,0.101610194
interpolation,IMQ,0,2,1.0,2500,0.04524005826554596,0.119495196
interpolation,Gaussian,0,2,1.0,2500,1.5289639058393865,0.095220273
interpolation,PHS,3,3,0.0,2500,1.3301834870333023e-5,0.092113767
interpolation,PHS,5,3,0.0,2500,1.1119651192704853e-6,0.103452748
interpolation,PHS,7,3,0.0,2500,1.1586231919854122e-7,0.183911863
interpolation,IMQ,0,3,1.0,2500,0.10410167288366565,0.097650837
interpolation,Gaussian,0,3,1.0,2500,5.33749128265308,0.133366761
interpolation,PHS,3,4,0.0,2500,1.6004616900620737e-5,0.103954168
interpolation,PHS,5,4,0.0,2500,8.220805132070877e-7,0.087533868
interpolation,PHS,7,4,0.0,2500,1.1487858357788114e-7,0.08801208
interpolation,IMQ,0,4,1.0,2500,0.1720051322571167,0.098179698
interpolation,Gaussian,0,4,1.0,2500,1.3207892384265774,0.100455332
interpolation,PHS,3,5,0.0,2500,1.886594348272414e-5,0.090844125
interpolation,PHS,5,5,0.0,2500,9.748822283556605e-7,0.086951767
