operator,family,phs_order,poly_deg,eps,N,nrmse,build_time_s,apply_time_s,build_bytes
laplacian,PHS,1,1,0.0,225,3.9336728968395706e14,0.00037319,9.3e-7,1547264
laplacian,PHS,1,1,0.0,900,1.9980856657023166e14,0.000842652,3.2e-6,5683040
laplacian,PHS,1,1,0.0,2025,1.3319186761664052e14,0.001773553,8.46e-6,12779240
laplacian,PHS,1,1,0.0,4900,8.545178230661981e13,0.004128227,2.194e-5,30891328
laplacian,PHS,3,2,0.0,225,0.14905312067622312,0.00034943,1.18e-6,2791768
laplacian,PHS,3,2,0.0,900,0.069172904552137,0.001304663,5.37e-6,10776576
laplacian,PHS,3,2,0.0,2025,0.045012779234812984,0.003079066,1.139e-5,24236192
laplacian,PHS,3,2,0.0,4900,0.028355616385754366,0.007045382,2.838e-5,58628992
laplacian,PHS,5,3,0.0,225,0.021879752901983972,0.000737811,1.63e-6,9250872
laplacian,PHS,5,3,0.0,900,0.005065703071368227,0.002768215,7.1e-6,36865616
laplacian,PHS,5,3,0.0,2025,0.0021129107340649165,0.006347571,1.465e-5,82927392
laplacian,PHS,5,3,0.0,4900,0.0008260409349859446,0.01640739,4.209e-5,201694504
laplacian,PHS,7,4,0.0,225,0.0036712387631434927,0.001414533,2.22e-6,17797544
laplacian,PHS,7,4,0.0,900,0.00029962866826647056,0.005508,9.36e-6,71033696
laplacian,PHS,7,4,0.0,2025,7.175460664780655e-5,0.012312733,2.045e-5,161294256
laplacian,PHS,7,4,0.0,4900,1.5589632084626945e-5,0.050300201,5.65e-5,388874416
laplacian,PHS,5,2,0.0,225,0.05911483749890274,0.000371311,1.48e-6,2712328
laplacian,PHS,5,2,0.0,900,0.024140184826444155,0.001338572,4.86e-6,10919416
laplacian,PHS,5,2,0.0,2025,0.014957866051039749,0.002908845,1.084e-5,24941048
laplacian,PHS,5,2,0.0,4900,0.008733210880087761,0.006544412,3.66e-5,59476464
laplacian,PHS,5,4,0.0,225,0.004218930674718789,0.001347573,2.35e-6,17862440
laplacian,PHS,5,4,0.0,900,0.00037586027613515727,0.0051,9.7e-6,71344024
laplacian,PHS,5,4,0.0,2025,8.783983201107964e-5,0.012114222,2.833e-5,161583824
laplacian,PHS,5,4,0.0,4900,1.8705131330114255e-5,0.053276747,5.2921e-5,390340032
laplacian,PHS,5,5,0.0,225,0.0012257693561285286,0.002373254,2.76e-6,31710472
laplacian,PHS,5,5,0.0,900,4.695815686829856e-5,0.008753595,1.088e-5,127085416
laplacian,PHS,5,5,0.0,2025,9.371094736615016e-6,0.035183313,2.781e-5,286204176
laplacian,PHS,5,5,0.0,4900,1.2802654057773643e-6,0.082356979,7.364e-5,693462952
laplacian,PHS,7,3,0.0,225,0.007403944450217521,0.000687912,1.61e-6,9503736
laplacian,PHS,7,3,0.0,900,0.0015780235706356143,0.002694075,9.08e-6,36863280
laplacian,PHS,7,3,0.0,2025,0.0006533034551036278,0.006062091,1.45e-5,82931488
laplacian,PHS,7,3,0.0,4900,0.00026678038483114036,0.015982099,4.795e-5,201420584
laplacian,PHS,7,5,0.0,225,0.0013421572237742325,0.002432605,2.91e-6,31710632
laplacian,PHS,7,5,0.0,900,6.641120912670773e-5,0.009413137,1.264e-5,126597168
laplacian,PHS,7,5,0.0,2025,1.303189445781317e-5,0.035003014,2.735e-5,286689824
laplacian,PHS,7,5,0.0,4900,1.8554471478369652e-6,0.080618426,6.996e-5,693562384
laplacian,PHS,7,6,0.0,225,0.00015341806446847372,0.003458016,3.53e-6,53867176
laplacian,PHS,7,6,0.0,900,4.095449513405587e-6,0.014076535,1.588e-5,215876792
laplacian,PHS,7,6,0.0,2025,3.6180767234983886e-7,0.056835883,3.695e-5,486760144
laplacian,PHS,7,6,0.0,4900,3.160904326916071e-8,0.134049372,0.00011386,1175828528
