x,y,elevation
0,0,3485.834716797
.020408,0,3497.782470703
.040816,0,3555.289062500
.061224,0,3546.519042969
.081632,0,3567.535644531
.102040,0,3588.925781250
.122448,0,3580.938476562
.142857,0,3597.647216797
.163265,0,3541.801757812
.183673,0,3529.840087891
.204081,0,3540.870117188
.224489,0,3517.200927734
.244897,0,3485.537353516
.265306,0,3472.356689453
.285714,0,3474.564941406
.306122,0,3515.783203125
.326530,0,3526.450927734
.346938,0,3541.927490234
.367346,0,3548.341796875
.387755,0,3567.820312500
.408163,0,3587.261962891
.428571,0,3634.990234375
.448979,0,3656.293701172
.469387,0,3657.715332031
.489795,0,3654.678222656
.510204,0,3647.033935547
.530612,0,3577.136230469
.551020,0,3550.370117188
.571428,0,3546.219970703
.591836,0,3550.832763672
.612244,0,3566.483398438
.632653,0,3579.490722656
.653061,0,3611.789306641
.673469,0,3563.554687500
.693877,0,3545.893554688
.714285,0,3530.413330078
.734693,0,3512.117187500
.755102,0,3476.022949219
.775510,0,3474.270019531
.795918,0,3432.534423828
.816326,0,3408.096679688
.836734,0,3389.026123047
.857142,0,3350.189453125
.877551,0,3315.840576172
.897959,0,3304.975830078
.918367,0,3255.274658203
.938775,0,3220.992919922
.959183,0,3214.588623047
.979591,0,3201.060791016
1.000000,0,3197.628173828
0,.020408,3566.427246094
.020408,.020408,3548.875976562
.040816,.020408,3555.867431641
.061224,.020408,3606.086425781
.081632,.020408,3625.081787109
.102040,.020408,3631.214111328
.122448,.020408,3639.957763672
.142857,.020408,3657.902832031
.163265,.020408,3596.876708984
.183673,.020408,3589.209228516
.204081,.020408,3579.236083984
.224489,.020408,3552.232666016
.244897,.020408,3528.562255859
.265306,.020408,3521.380615234
.285714,.020408,3540.708496094
.306122,.020408,3562.995849609
.326530,.020408,3574.213623047
.346938,.020408,3631.282714844
.367346,.020408,3585.398437500
.387755,.020408,3644.592773438
.408163,.020408,3640.459228516
.428571,.020408,3672.480712891
.448979,.020408,3685.615722656
.469387,.020408,3695.656982422
.489795,.020408,3693.741455078
.510204,.020408,3689.526611328
.530612,.020408,3659.270263672
.551020,.020408,3630.338378906
.571428,.020408,3614.698486328
.591836,.020408,3602.810302734
.612244,.020408,3607.978515625
.632653,.020408,3620.581542969
.653061,.020408,3652.442382812
.673469,.020408,3608.551269531
.693877,.020408,3592.568359375
.714285,.020408,3577.195556641
.734693,.020408,3532.752197266
.755102,.020408,3533.443847656
.775510,.020408,3484.513427734
.795918,.020408,3477.849609375
.816326,.020408,3460.855712891
.836734,.020408,3432.240722656
.857142,.020408,3364.796386719
.877551,.020408,3358.561035156
.897959,.020408,3375.541748047
.918367,.020408,3252.529296875
.938775,.020408,3251.259765625
.959183,.020408,3236.580566406
.979591,.020408,3226.382568359
1.000000,.020408,3219.039306641
0,.040816,3607.752197266
.020408,.040816,3619.486328125
.040816,.040816,3613.338134766
.061224,.040816,3620.319824219
.081632,.040816,3666.497070312
.102040,.040816,3695.171630859
.122448,.040816,3696.882812500
.142857,.040816,3694.241699219
.163265,.040816,3668.572509766
.183673,.040816,3676.297119141
.204081,.040816,3626.486083984
.224489,.040816,3608.126708984
.244897,.040816,3581.909912109
.265306,.040816,3573.206054688
.285714,.040816,3601.593750000
.306122,.040816,3614.147460938
.326530,.040816,3634.826416016
.346938,.040816,3641.539550781
.367346,.040816,3690.819335938
.387755,.040816,3684.339599609
.408163,.040816,3695.354003906
.428571,.040816,3711.764160156
.448979,.040816,3720.487304688
.469387,.040816,3729.845703125
.489795,.040816,3733.125488281
.510204,.040816,3735.248535156
.530612,.040816,3746.237792969
.551020,.040816,3724.548095703
.571428,.040816,3669.225830078
.591836,.040816,3663.557861328
.612244,.040816,3685.551025391
.632653,.040816,3678.505126953
.653061,.040816,3690.353515625
.673469,.040816,3647.111572266
.693877,.040816,3630.379638672
.714285,.040816,3608.913085938
.734693,.040816,3594.735351562
.755102,.040816,3542.753173828
.775510,.040816,3532.083496094
.795918,.040816,3528.586425781
.816326,.040816,3531.853759766
.836734,.040816,3502.372802734
.857142,.040816,3477.045166016
.877551,.040816,3453.715576172
.897959,.040816,3355.864746094
.918367,.040816,3297.975830078
.938775,.040816,3283.782958984
.959183,.040816,3262.842773438
.979591,.040816,3254.394775391
1.000000,.040816,3250.227783203
0,.061224,3572.937255859
.020408,.061224,3623.897460938
.040816,.061224,3689.349121094
.061224,.061224,3680.810546875
.081632,.061224,3682.183837891
.102040,.061224,3706.763183594
.122448,.061224,3738.492431641
.142857,.061224,3739.015136719
.163265,.061224,3736.427001953
.183673,.061224,3735.632568359
.204081,.061224,3721.596923828
.224489,.061224,3650.481201172
.244897,.061224,3631.251220703
.265306,.061224,3625.486816406
.285714,.061224,3632.258300781
.306122,.061224,3655.305664062
.326530,.061224,3686.561523438
.346938,.061224,3706.618408203
.367346,.061224,3727.255615234
.387755,.061224,3729.540771484
.408163,.061224,3738.339599609
.428571,.061224,3745.206298828
.448979,.061224,3754.786621094
.469387,.061224,3764.363525391
.489795,.061224,3768.821289062
.510204,.061224,3768.999511719
.530612,.061224,3780.602539062
.551020,.061224,3763.986816406
.571428,.061224,3745.152587891
.591836,.061224,3743.636962891
.612244,.061224,3747.144775391
.632653,.061224,3748.060058594
.653061,.061224,3723.729248047
.673469,.061224,3658.393798828
.693877,.061224,3658.076904297
.714285,.061224,3649.952636719
.734693,.061224,3611.948242188
.755102,.061224,3595.998779297
.775510,.061224,3577.904296875
.795918,.061224,3577.558837891
.816326,.061224,3581.056152344
.836734,.061224,3544.392333984
.857142,.061224,3507.293212891
.877551,.061224,3434.615966797
.897959,.061224,3384.152343750
.918367,.061224,3318.905273438
.938775,.061224,3308.178466797
.959183,.061224,3289.116210938
.979591,.061224,3281.832763672
1.000000,.061224,3276.707031250
0,.081632,3583.389892578
.020408,.081632,3628.497314453
.040816,.081632,3677.973388672
.061224,.081632,3735.134033203
.081632,.081632,3742.554199219
.102040,.081632,3762.819335938
.122448,.081632,3785.517089844
.142857,.081632,3794.642089844
.163265,.081632,3799.902832031
.183673,.081632,3795.028808594
.204081,.081632,3785.929199219
.224489,.081632,3722.663085938
.244897,.081632,3690.436035156
.265306,.081632,3681.796875000
.285714,.081632,3679.179687500
.306122,.081632,3704.975341797
.326530,.081632,3751.335937500
.346938,.081632,3779.599365234
.367346,.081632,3767.855957031
.387755,.081632,3765.052978516
.408163,.081632,3771.546142578
.428571,.081632,3780.080810547
.448979,.081632,3789.544677734
.469387,.081632,3798.155761719
.489795,.081632,3803.126464844
.510204,.081632,3808.900146484
.530612,.081632,3822.458984375
.551020,.081632,3822.384277344
.571428,.081632,3801.913085938
.591836,.081632,3790.361816406
.612244,.081632,3795.545410156
.632653,.081632,3795.384765625
